message,fingers,tail,species
iephyr terram nimbus terram faunar foliar,2,no,Florian
joyzor uleex luvium caloox shockus blissae,4,yes,Emotivor
aquos arbor ventuc,4,yes,Quixnar
nympha nympha epikoz nympha mythox mythox mythox,3,no,Cybex
diitax sibenix fabulon,4,yes,Mythron
legax herox elvex cyflopix cyclopix,5,yes,Mythron
mythox lorix lorix fabulon deibax,4,no,Cybex
gobnax elvex gryphox elvex cyclopix relikum elvex epikoz,3,no,Cybex
tristix anxius shockus,1,no,Cybex
faunar floran faunar foliar biomar florzn petros petrov,2,yes,Florian
gryphox epikoz magix,7,yes,Faerix
empathix shockks luvium awmzom shamex,1,no,Emotivor
warpz kometa ufox,6,yes,Aquari
lunox stardux stardux solarix cosmix glixx solbrix novum,5,no,Aquari
rclikum titanos nympha krakos cyclopix sirenix,4,yes,Mythron
gaiax arbor seepod terranix floran seepod biomar floran,5,no,Nexoon
zephyr insectus pollex ekoq terrmm,5,yes,Quixnar
cjbrex natobyt synapz biotex nanobyt,2,yes,Florian
terranix ekos aviana floraz aquos,2,no,Florian
pollex gaiax florkn doliar,4,no,Faerix
orbitaz quasar celestar novum warpz orbitaz orritaz,8,yes,Aquari
euphorix kngstix fearix euphorix empathzx ekstax trustix angstix,2,no,Emotivor
kometa zorp galaxum pulsox vortex kometa,5,no,Quixnar
virtua codex quantix,6,yes,Zorblax
titanos deitax epikoz elvex,9,yes,Zorblax
technos quantix cybrex lazeron digitron nexus,6,yes,Zorblax
pluvia foliaa seepod terram,3,no,Nexoon
luvium qredax ekstax dredax gleex euphorix ekstax dredax,4,yes,Emotivor
shockus luvium zenox shockus luvium hopium,3,no,Sentire
lorix faerix elvex faerix gryphox drakos geitax fenix,7,yes,Mythron
dawax vybrex mechan quantaz techix nanobyt,2,no,Faerix
fearix euprorix furio gleex gleex euphorix joyzoj,2,no,Emotivor
relikum beastix titanos faerix bgastix mythox unikor,7,yes,Aquari
angstix hopium awxius,4,no,Sentire
faerix centarex faerix magix magix mythox letax,4,no,Faerix
gleex sorrowk awezom shamex,0,no,Emotivor
terram rootix floraz pluvia eoliar,4,no,Faerix
ventus leajon insectus,5,yes,Faerix
floraz ekos foliar aviana seepod sporzom terram,5,no,Nexoon
pulsar vortex zofp feno glixx quasar meteorn,4,no,Sentire
blissam blissam shamex sadix,2,no,Emotivor
solsrix astron pulsox kometa nebuz blapoz kometa,5,no,Quixnar
epikoz magix mermax elveq,5,yes,Mythron
aron algorix cryptoz circux techix nexus,4,yes,Faerix
herba herba floraz petros petros pollex,4,no,Faerix
anxius empathix dredax pridius ekstax pridius shamex,2,yes,Emotivor
lunox blapoz novara meteorn novum,4,yes,Quixnar
kometa xeno xeno zorp solarix xeno glixx,5,no,Aquari
nebulax vortex warpz novax solarix blapoz aeno pulsox,6,yes,Quixnar
foliaj ventus insectus zechyr,3,yes,Florian
shtmex furio fearix empathix awezom,0,yes,Emotivor
pulsox quasar stardux novax,8,no,Aquari
angstix evpathix blissam,3,yes,Emotivor
zorp novura pulsar,4,no,Faerix
fearix shamex hopium vuphorix empathix ekstax gleex,1,no,Emotivor
hopinm ragex joyzor,2,yes,Florian
empathix shamex awezom disguj shockus sadkx hooium,6,yes,Emotivor
anxius shockus ragex gleex disgux,2,no,Emotivor
magix gryphox goblax relikum,4,yes,Mythron
algorix nanouom robonix nevraz tethnos lazeron quantix techix,5,no,Faerix
holox quantix quantix cryptoz,3,no,Faerix
virtua dronix nexus,2,no,Faerix
mythox faerix sirenix fabulon mwrmax mythox mermax faeric,3,yes,Mythron
fearix calmox ekstax greex angstix,3,no,Sentire
hopiui pridius shockus zenox euphorix,5,yes,Emotivor
legax nympha frnix epikoz lorin faerix,7,yes,Faerix
furio ekstax joyzor awezom excitar shamex,5,yes,Emotivor
epikoz sirepix elvex faerix sirenix fabylon titanos titanos,4,no,Cybex
robonix neuraz cryptoz drwnix mechan aeon robonix,6,yes,Zorblax
quasar stardux warpz vortex orbimaz novum,4,no,Aquari
nebuz cosmix quasar,5,no,Aquari
gleex disgux excitar blissam angstix shockus curio,2,no,Sentire
gleex gleyx euphorix empathix shamex zenox,3,yes,Emotivor
meteorn xeno glixx xeno glixx,8,yes,Aquari
shockus pridius gleex sorrowz pridius,1,no,Cybex
ragyx fearix ragix hopium sorrowz awezom angstix sadix,3,yes,Emotivor
nanobyt biotex dronix cryptoz circux,1,no,Zorblax
magix mythox epvkoz fenix drakos,5,no,Faerix
robonix wazeron synapz algocix holox aeon datax,2,yes,Florian
euphorix zenkx blissam luvium furio,2,no,Emotivor
joyzor ragex shockus shockus hopium anxius,2,no,Emotivor
quantaz lazeron cybron technos,2,no,Faerix
fearix fearix pridius ekstax,2,no,Emotivor
zezhyr aviana zephyr sporzom ekoa sporzoo solux,3,no,Florian
lazeron cryptoz biorex quantix virtua neuraz cybrex,5,no,Faerix
joyzor pridius angstix awezom hopium excitar furio trustix,6,yes,Emotivor
unikor sagax merbax krakos fabulon,4,no,Cybex
