message,fingers,tail,tail_encoded,species
iephyr terram nimbus terram faunar foliar,2,0,0,Nexoon
joyzor uleex luvium caloox shockus blissae,4,1,1,Cybex
aquos arbor ventuc,4,1,1,Nexoon
nympha nympha epikoz nympha mythox mythox mythox,3,0,0,Mythron
diitax sibenix fabulon,4,1,1,Mythron
legax herox elvex cyflopix cyclopix,5,1,1,Sentire
mythox lorix lorix fabulon deibax,4,0,0,Sentire
gobnax elvex gryphox elvex cyclopix relikum elvex epikoz,3,0,0,Sentire
tristix anxius shockus,1,0,0,Faerix
faunar floran faunar foliar biomar florzn petros petrov,2,1,1,Emotivor
gryphox epikoz magix,7,1,1,Mythron
empathix shockks luvium awmzom shamex,1,0,0,Faerix
warpz kometa ufox,6,1,1,Quixnar
lunox stardux stardux solarix cosmix glixx solbrix novum,5,0,0,Zorblax
rclikum titanos nympha krakos cyclopix sirenix,4,1,1,Mythron
gaiax arbor seepod terranix floran seepod biomar floran,5,0,0,Nexoon
zephyr insectus pollex ekoq terrmm,5,1,1,Emotivor
cjbrex natobyt synapz biotex nanobyt,2,1,1,Aquari
terranix ekos aviana floraz aquos,2,0,0,Nexoon
pollex gaiax florkn doliar,4,0,0,Nexoon
orbitaz quasar celestar novum warpz orbitaz orritaz,8,1,1,Quixnar
euphorix kngstix fearix euphorix empathzx ekstax trustix angstix,2,0,0,Faerix
kometa zorp galaxum pulsox vortex kometa,5,0,0,Zorblax
virtua codex quantix,6,1,1,Florian
titanos deitax epikoz elvex,9,1,1,Mythron
technos quantix cybrex lazeron digitron nexus,6,1,1,Florian
pluvia foliaa seepod terram,3,0,0,Nexoon
luvium qredax ekstax dredax gleex euphorix ekstax dredax,4,1,1,Cybex
shockus luvium zenox shockus luvium hopium,3,0,0,Faerix
lorix faerix elvex faerix gryphox drakos geitax fenix,7,1,1,Mythron
dawax vybrex mechan quantaz techix nanobyt,2,0,0,Aquari
fearix euprorix furio gleex gleex euphorix joyzoj,2,0,0,Faerix
relikum beastix titanos faerix bgastix mythox unikor,7,1,1,Mythron
angstix hopium awxius,4,0,0,Faerix
faerix centarex faerix magix magix mythox letax,4,0,0,Mythron
gleex sorrowk awezom shamex,0,0,0,Faerix
terram rootix floraz pluvia eoliar,4,0,0,Nexoon
ventus leajon insectus,5,1,1,Emotivor
floraz ekos foliar aviana seepod sporzom terram,5,0,0,Nexoon
pulsar vortex zofp feno glixx quasar meteorn,4,0,0,Zorblax
blissam blissam shamex sadix,2,0,0,Faerix
solsrix astron pulsox kometa nebuz blapoz kometa,5,0,0,Zorblax
epikoz magix mermax elveq,5,1,1,Mythron
aron algorix cryptoz circux techix nexus,4,1,1,Florian
herba herba floraz petros petros pollex,4,0,0,Nexoon
anxius empathix dredax pridius ekstax pridius shamex,2,1,1,Faerix
lunox blapoz novara meteorn novum,4,1,1,Zorblax
kometa xeno xeno zorp solarix xeno glixx,5,0,0,Zorblax
nebulax vortex warpz novax solarix blapoz aeno pulsox,6,1,1,Quixnar
foliaj ventus insectus zechyr,3,1,1,Emotivor
shtmex furio fearix empathix awezom,0,1,1,Faerix
pulsox quasar stardux novax,8,0,0,Zorblax
angstix evpathix blissam,3,1,1,Cybex
zorp novura pulsar,4,0,0,Zorblax
fearix shamex hopium vuphorix empathix ekstax gleex,1,0,0,Faerix
hopinm ragex joyzor,2,1,1,Faerix
empathix shamex awezom disguj shockus sadkx hooium,6,1,1,Cybex
anxius shockus ragex gleex disgux,2,0,0,Faerix
magix gryphox goblax relikum,4,1,1,Mythron
algorix nanouom robonix nevraz tethnos lazeron quantix techix,5,0,0,Aquari
holox quantix quantix cryptoz,3,0,0,Aquari
virtua dronix nexus,2,0,0,Aquari
mythox faerix sirenix fabulon mwrmax mythox mermax faeric,3,1,1,Mythron
fearix calmox ekstax greex angstix,3,0,0,Faerix
hopiui pridius shockus zenox euphorix,5,1,1,Cybex
legax nympha frnix epikoz lorin faerix,7,1,1,Mythron
furio ekstax joyzor awezom excitar shamex,5,1,1,Cybex
epikoz sirepix elvex faerix sirenix fabylon titanos titanos,4,0,0,Mythron
robonix neuraz cryptoz drwnix mechan aeon robonix,6,1,1,Florian
quasar stardux warpz vortex orbimaz novum,4,0,0,Zorblax
nebuz cosmix quasar,5,0,0,Zorblax
gleex disgux excitar blissam angstix shockus curio,2,0,0,Faerix
gleex gleyx euphorix empathix shamex zenox,3,1,1,Cybex
meteorn xeno glixx xeno glixx,8,1,1,Quixnar
shockus pridius gleex sorrowz pridius,1,0,0,Faerix
ragyx fearix ragix hopium sorrowz awezom angstix sadix,3,1,1,Faerix
nanobyt biotex dronix cryptoz circux,1,0,0,Aquari
magix mythox epvkoz fenix drakos,5,0,0,Sentire
